age,gender,homeland,target,accommodation,company,activities,decision,transport,cost,enjoyment
More than 25 years old,Male,North America,Seaside;Mountains,Hotel or motel;Rent a house;Family or friend's house;Tent or hut,Family;Friends,Going to the beach;Cruise;Camping,My relatives live there;driving distance ,Car,$2000,9
14 - 16 years old,Female,Western Europe,Seaside,Family or friend's house,Friends,Going to the beach;Staying at home;Attending concerts or live events (e.g. football match),"I have friends there;I always go there on vacation, it's a tradition;I have a house there",Car;Train,€ 200,6
14 - 16 years old,Female,Western Europe,Seaside,Tent or hut,Family,Going to the beach,"I always go there on vacation, it's a tradition",Car and ship,e.g. 0€,7
14 - 16 years old,Female,Western Europe,Seaside;Mountains,Rent a house;Family or friend's house,Friends,"Going to the beach;Travelling, visiting cities and places of interest","My relatives live there;I always go there on vacation, it's a tradition",Car;Train;Airplane,,4
14 - 16 years old,Male,Western Europe,Seaside;Mountains,Hotel or motel;Rent a house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",My relatives live there;I want to visit a certain place,Car;Airplane,1000,9
18 - 25 years old,Female,North America,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Rent a house;Family or friend's house,Family,"Going to the beach;Travelling, visiting cities and places of interest;Staying at home",My relatives live there;I want to visit a certain place;family chooses,Car;Airplane,,4
14 - 16 years old,Male,Milano,Seaside,Hotel or motel;Rent a house;Family or friend's house,Family,"Going to the beach;Extreme sports;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)","My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Airplane;Bus or taxi,3000,10
14 - 16 years old,Male,Western Europe,Mountains,Hotel or motel;Family or friend's house,Friends,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","My relatives live there;I always go there on vacation, it's a tradition;I have a house there",Car;Train;Airplane;Bus or taxi,🖕,7
14 - 16 years old,Male,Western Europe,Seaside;Mountains,Hotel or motel;Family or friend's house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane,Boh,9
14 - 16 years old,Female,Western Europe,Seaside,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,Going to the beach;Visiting museums and cultural sites;Attending concerts or live events (e.g. football match),I have friends there;My relatives live there;I want to visit a certain place,Car,3000 €,10
16 - 18 years old,Male,North America,Lake or river;City,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,,8
18 - 25 years old,Female,Australia,Seaside,caravan,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","I want to visit a certain place;I always go there on vacation, it's a tradition",Car,,10
