age,gender,homeland,target,accommodation,company,activities,decision,transport,cost,enjoyment
More than 25 years old,Female,North America,Seaside,Hotel or motel;Rent a house;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Airplane,500$,7
18 - 25 years old,Male,Eastern Europe,Lake or river,Rent a house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","Budget, preference",Car,,8
18 - 25 years old,Male,Western Europe,Seaside;Mountains,Hotel or motel,Family;Friends;Boyfriend/girlfriend;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Cruise;Camping;Attending concerts or live events (e.g. football match)",I want to visit a certain place;What's the most affordable,Car;Airplane,€1300,6
More than 25 years old,Male,Canada,Seaside,Hotel or motel,Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,6000 NTD/TWD,7
18 - 25 years old,Male,Western Europe,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Holiday House/2nd Home,Family;Friends;Alone,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",My relatives live there;I want to visit a certain place;I have a house there,Car;Train;Airplane,6000 £,7
16 - 18 years old,Male,Western Europe,Seaside,Rent a house;Family or friend's house,Family;Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane,500€/1000€,8
16 - 18 years old,Male,Western Europe,Seaside,Family or friend's house,Friends,Going to the beach;Visiting museums and cultural sites;Attending concerts or live events (e.g. football match),"I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Bus or taxi,500€,4
18 - 25 years old,Male,North America,Seaside;Mountains,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Trekking or walking;Working;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car,,6
More than 25 years old,Female,Western Europe,Countryside;Cities,Hotel or motel;Rent a house;Family or friend's house,Family;Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Extreme sports;Travelling, visiting cities and places of interest",I have friends there;My relatives live there;I want to visit a certain place,Train;Airplane;Bus or taxi,300 £,8
16 - 18 years old,Female,italia,Seaside,Hotel or motel;Family or friend's house,Family;Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","I have friends there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train,,8
More than 25 years old,Female,North America,Mountains,Tent or hut,Family;Friends,Trekking or walking;Visiting museums and cultural sites;Camping,I want to visit a certain place,Car,$200,10
More than 25 years old,Female,Australia,Seaside,Hotel or motel;Rent a house,Family,"Going to the beach;Travelling, visiting cities and places of interest;Shopping, swimming (pool), relaxing",Availability for dates. Trying new places,Car,$2000 AUD,10
More than 25 years old,Male,North America,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car;Airplane,2000 $,8
16 - 18 years old,Female,Western Europe,Seaside;Mountains,My house ,Family,Going to the beach;Visiting museums and cultural sites;Staying at home,I have friends there;My relatives live there;I have a house there,Car;Train,700€,8
More than 25 years old,Male,USA,Seaside,Rent a house,Family,Going to the beach;Trekking or walking;Fishing,"I always go there on vacation, it's a tradition",Car,$5000,10
18 - 25 years old,Female,Western Europe,Seaside;Mountains;Lake or river,Hotel or motel,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Train;Bus or taxi,500€,9
18 - 25 years old,Female,North America,Countryside,Hotel or motel,Family,"Working;Travelling, visiting cities and places of interest;Staying at home","I always go there on vacation, it's a tradition",Car,800 $,8
More than 25 years old,Male,Asia,Home,Tent or hut,Family;Friends,Staying at home;Camping,There are good camping areas there. ,Car,40000 €,10
18 - 25 years old,Male,North America,Seaside;Lake or river,Hotel or motel;Rent a house,Family;Friends,"Going to the beach;Extreme sports;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car;Airplane,1000 $,9
18 - 25 years old,Female,North America,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Rent a house;Family or friend's house;Camper;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Airplane,$1500,9
More than 25 years old,Female,Eastern Europe,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Rent a house;Family or friend's house;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",My relatives live there;I want to visit a certain place,Car;Bus or taxi,400e,9
More than 25 years old,Female,Australia,Seaside;Countryside,Hotel or motel;Rent a house;Tent or hut,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping",I have friends there;My relatives live there;I want to visit a certain place,Car;Airplane,450$AUD,10
16 - 18 years old,Male,Western Europe,Seaside;Mountains;Countryside;Cities of cultural interests ,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Extreme sports;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place;I have a house there,Car;Train;Airplane;Bus or taxi,3000€,10
More than 25 years old,Female,Western Europe,Seaside;City,Family or friend's house,Family;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Extreme sports;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I have friends there;My relatives live there,Airplane,5000 dkk,10
More than 25 years old,Female,North America,Seaside,Hotel or motel;Family or friend's house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Cruise",My relatives live there;I want to visit a certain place,Car;Airplane,"1,000$",7
18 - 25 years old,Male,Asia,Cities,Hotel or motel,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Airplane,,9
18 - 25 years old,Male,Western Europe,city,Hotel or motel;Rent a house;airbnb,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Train;Airplane,idk,7
More than 25 years old,Female,Western Europe,Seaside;Mountains,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Trekking or walking;Travelling, visiting cities and places of interest;Staying at home","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane;Bus or taxi,3000,10
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river;Big cities,Hotel or motel;Rent a house;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Train;Airplane,"3,000 $",10
18 - 25 years old,Male,Western Europe,Seaside;Mountains,Rent a house;Family or friend's house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train,100 €,8
14 - 16 years old,Male,Africa,Seaside,Hotel or motel;Rent a house;Resort,Family,"Going to the beach;Travelling, visiting cities and places of interest;Staying at home;Swimming you idiot",I want to visit a certain place,Car;Bus or taxi,,9
18 - 25 years old,Male,Western Europe,Mountains;Lake or river;Countryside,Rent a house;Camper;Tent or hut,Family;Friends,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car,500 £,10
18 - 25 years old,Female,North America,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Family or friend's house,Family,"Going to the beach;Travelling, visiting cities and places of interest;Staying at home",My relatives live there,Car,,4
More than 25 years old,Male,Western Europe,"City, waterfall",Hotel or motel,Alone,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Train;Airplane,300 Euros,9
18 - 25 years old,Male,Eastern Europe,Seaside,Family or friend's house,Family;Friends;Alone,"Going to the beach;Trekking or walking;Extreme sports;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",I have friends there;My relatives live there;I want to visit a certain place;I have a house there,Car;Airplane;Bus or taxi,500€,7
More than 25 years old,Male,North America,Seaside;Mountains;Lake or river;Countryside;Cultural and historical places as well,Hotel or motel;Rent a house;Family or friend's house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car;Airplane,5000$,10
18 - 25 years old,Male,Western Europe,cities,Hotel or motel;Family or friend's house;airB&B,Family;Friends;Alone,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match);partying",I have friends there;I want to visit a certain place,Car;Train;Airplane,900€,9
18 - 25 years old,Female,Western Europe,Mountains,Hotel or motel;Tent or hut,Family,"Trekking or walking;Visiting museums and cultural sites;Working;Travelling, visiting cities and places of interest;Staying at home;Camping","I want to visit a certain place;I always go there on vacation, it's a tradition",Car,,7
14 - 16 years old,Female,North America,Lake or river,Hotel or motel,Family,Working,My relatives live there,Car,Idk,7
14 - 16 years old,Male,North America,Lake or river;Countryside,Hotel or motel;Family or friend's house;Tent or hut,Family;Friends,Camping,"I have friends there;I always go there on vacation, it's a tradition",Car,"2,500 $",9
16 - 18 years old,Male,Western Europe,Seaside;Mountains;Countryside,Rent a house,Family;Friends,"Going to the beach;Working;Travelling, visiting cities and places of interest;Staying at home",My relatives live there,Car;Airplane,,7
18 - 25 years old,Male,Western Europe,Seaside;Mountains;Lake or river;Countryside,Rent a house;Family or friend's house;Camper,Family;Friends;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I have friends there;My relatives live there;I want to visit a certain place,Car;Train,500€,7
16 - 18 years old,Female,Western Europe,Seaside;Mountains,Family or friend's house,Family;Friends;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Studio","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Train,Don't know,3
16 - 18 years old,Male,Eastern Europe,Seaside,Rent a house,Friends,Staying at home,I have friends there;I want to visit a certain place,Car;Train;Airplane,30000 ₽ (500$),8
More than 25 years old,Male,Western Europe,Seaside,Hotel or motel,Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Train;Airplane,1000£,10
14 - 16 years old,Male,Western Europe,Seaside;Countryside,Hotel or motel;Family or friend's house,Family,"Going to the beach;Travelling, visiting cities and places of interest;Staying at home",My relatives live there;I want to visit a certain place,Airplane,,7
16 - 18 years old,Female,North America,Seaside,Hotel or motel,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Cruise",People’s recommendations ,Car;Airplane,$800 USD,8
More than 25 years old,Male,North America,Seaside;Mountains,Hotel or motel;Rent a house;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Airplane,$500-1000 USD ,9
More than 25 years old,Female,Israel,Seaside,Hotel or motel;Rent a house,Friends;Alone,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place,Airplane,2500€,9
16 - 18 years old,Female,North America,Seaside,Hotel or motel;Rent a house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Cruise",I want to visit a certain place,Car;Airplane,2000 $,10
More than 25 years old,Male,Western Europe,Seaside;Countryside,Family or friend's house,Family,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Staying at home",My relatives live there,Train,33 €,8
More than 25 years old,Female,Western Europe,City or park,Rent a house,Family;Friends;Boyfriend/girlfriend,Working;Staying at home;Attending concerts or live events (e.g. football match),Someone else wants to go there,Car;Train,1000 €,8
18 - 25 years old,Male,Eastern Europe,Seaside;Mountains,Hotel or motel,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car;Airplane,,7
18 - 25 years old,Male,Eastern Europe,Seaside,Hotel or motel;Rent a house,Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Train;Airplane,1500 €,10
18 - 25 years old,Female,Western Europe,Seaside;Mountains,Hotel or motel;Rent a house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Airplane,,10
More than 25 years old,Female,North America,"Seaside;Countryside;Theme parks, cruises, cities",Rent a house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Cruise;Attending concerts or live events (e.g. football match)","My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,2500 $,8
18 - 25 years old,Female,North America,Seaside;Visiting family,Hotel or motel;Family or friend's house,Family,Going to the beach;Staying at home,"My relatives live there;I always go there on vacation, it's a tradition",Car,3000 USD,8
18 - 25 years old,Female,Canada,Seaside;Mountains;Lake or river,Hotel or motel;Family or friend's house;Tent or hut,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I have friends there;My relatives live there;I want to visit a certain place;I have a house there,Car;Airplane;Bus or taxi,,10
More than 25 years old,Female,North America,Mountains,Tent or hut;Vehicle ,Friends;Alone,Extreme sports;Camping,"I want to visit a certain place;I always go there on vacation, it's a tradition",Car,300$,9
16 - 18 years old,Female,Italia,Seaside,village ,Family;Friends,Going to the beach,I have friends there,Car,1000€,8
18 - 25 years old,Male,Western Europe,Seaside;Mountains,Hotel or motel;Rent a house,Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Clubbing",I want to visit a certain place,Car;Train;Airplane,500 €,9
18 - 25 years old,Male,North America,Seaside,Hotel or motel,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,,9
18 - 25 years old,Nonbinary ,North America,Seaside;Mountains,Hotel or motel;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",My relatives live there;I want to visit a certain place,Car,200 $,8
More than 25 years old,Female,Western Europe,Seaside;Mountains;Lake or river;Countryside;City ,Hotel or motel;Rent a house;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane,300 £,10
18 - 25 years old,Female,Western Europe,Seaside;Mountains,Hotel or motel;Family or friend's house,Family;Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Train;Airplane,,10
16 - 18 years old,Male,Canada,Seaside,Hotel or motel;Rent a house,Family,Visiting museums and cultural sites;Cruise;Camping;Attending concerts or live events (e.g. football match),"I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,,9
18 - 25 years old,Female,North America,Seaside,Hotel or motel,Family;Friends,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match);Shopping & going out to eat / bars ",I want to visit a certain place,Car,500,9
More than 25 years old,Male,Canada,Seaside;Lake or river,Hotel or motel;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping",My relatives live there;I want to visit a certain place,Car;Airplane;Bus or taxi,1700 CAD,10
More than 25 years old,Male,Western Europe,Cities,Hotel or motel,Alone,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Train;Airplane,700,9
18 - 25 years old,Female,North America,Seaside;Mountains;Lake or river;Countryside,Rent a house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",My family chooses where we go,Car,6000 $ ,9
More than 25 years old,Male,Africa,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,20000 ZAR,7
16 - 18 years old,Female,North America,Lake or river;Countryside,Hotel or motel;Family or friend's house,Family,Visiting museums and cultural sites;Working;Staying at home,My relatives live there,Car;Airplane,,7
18 - 25 years old,Male,Eastern Europe,Mountains;City,Hotel or motel;Rent a house,Alone,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Train;Airplane;Bus or taxi;Subway,400 €,7
More than 25 years old,Female,Canada,Seaside;Lake or river,Hotel or motel;Tent or hut,Family;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car;Airplane,,8
More than 25 years old,Female,North America,Seaside;Mountains,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car;Airplane;Bus or taxi,,7
18 - 25 years old,Female,South America,Seaside;Mountains;Lake or river,Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,700 $,9
More than 25 years old,Female,Canada,Seaside;Mountains,Hotel or motel;Family or friend's house,Family;Friends;Boyfriend/girlfriend;Alone,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Train;Airplane;Bus or taxi,600 $CAD,8
More than 25 years old,Male,Asia,Seaside;Mountains;Lake or river;Countryside,Hotel or motel,Family;Friends;Boyfriend/girlfriend;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I have friends there;I want to visit a certain place,Train;Airplane;Bus or taxi,2000 GBP,9
More than 25 years old,Male,North America,Seaside,Hotel or motel,Family,Going to the beach,"I always go there on vacation, it's a tradition",Car,2500 $,6
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Camper;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place,Car;Airplane,"3,000 $",10
More than 25 years old,Female,Western Europe,Countryside,Rent a house;Camper,Family,Trekking or walking;Visiting museums and cultural sites,I want to visit a certain place,Car;Train,1000 €,9
18 - 25 years old,Male,North America,Mountains,Hotel or motel;Family or friend's house;Tent or hut,Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car,200 $,7
More than 25 years old,Male,North America,Seaside,Hotel or motel;Rent a house,Family,"Going to the beach;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)","I have friends there;I always go there on vacation, it's a tradition",Car,"2,000 USD",9
16 - 18 years old,unlabeled ,northern europe ,Seaside;Countryside,Hotel or motel,Family,Going to the beach;Visiting museums and cultural sites;Cruise;relaxing at the hotel,I want to visit a certain place,Car;Airplane,,6
More than 25 years old,Female,North America,Seaside,Rent a house,Family,Going to the beach;Visiting museums and cultural sites,I want to visit a certain place,Car,,8
More than 25 years old,Male,Western Europe,Seaside;Mountains;Lake or river;Countryside;Cities ,Rent a house,Family;Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Train;Airplane,500 £,9
More than 25 years old,Male,Northern europe,Seaside;Lake or river;Countryside,Family or friend's house,Family;Boyfriend/girlfriend,Going to the beach;Staying at home,"I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Airplane;Bus or taxi,4000 SEK,10
18 - 25 years old,Male,Western Europe,Seaside,Hotel or motel;Tent or hut,Family,Going to the beach;Camping,"I always go there on vacation, it's a tradition",Car,,8
More than 25 years old,Female,Western Europe,Seaside;Mountains;Lake or river;Countryside,Rent a house;Family or friend's house;Tent or hut,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping","Affordable and accessable at the right time, with good activity options for the whole family ",Car;Train;Airplane;Bus or taxi,4500€,8
More than 25 years old,Male,North America,Seaside;Foreign Cities,Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Working;Travelling, visiting cities and places of interest",I have friends there;I want to visit a certain place;I have a house there,Car;Train;Airplane,2000$,9
18 - 25 years old,Female,Western Europe,Seaside;cities,Hotel or motel;Rent a house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,1600 €,8
More than 25 years old,Female,North America,Seaside,Hotel or motel,Family;Boyfriend/girlfriend,"Going to the beach;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,500$,10
More than 25 years old,Female,North America,Mountains;Lake or river,Rent a house;Family or friend's house;Tent or hut,Friends;Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I have friends there;My relatives live there;I want to visit a certain place,Car;Airplane,$3500,9
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river;City,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place;I have a house there,Car;Airplane,800 USD,10
18 - 25 years old,Female,North America,at my family's house in Taiwan,Family or friend's house,Family,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",My relatives live there,Car;Train;Airplane,1600$,10
More than 25 years old,Female,North America,Lake or river;Wooded parks,Tent or hut,Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",My relatives live there;I want to visit a certain place,Car,<$500,8
More than 25 years old,Male,Canada,Seaside;Lake or river,Hotel or motel;Tent or hut,Family,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Camping",My relatives live there;I want to visit a certain place,Car;Airplane,1500 CAD,8
18 - 25 years old,Male,Canada,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Rent a house;Family or friend's house;Camper;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I have friends there;I want to visit a certain place,Car;Airplane,1000 CDN$,10
More than 25 years old,Nb,Western Europe,Seaside;Mountains;Lake or river;Countryside;Cities ,Rent a house,Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Train,<1500><£>,10
18 - 25 years old,Male,Western Europe,Seaside;Mountains;Countryside,Hotel or motel,Alone,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Bus or taxi;Coach,460 €,10
18 - 25 years old,Female,North America,Seaside;Countryside,Hotel or motel;Rent a house;Family or friend's house,Family;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,,7
18 - 25 years old,Female,North America,Seaside;City,Family or friend's house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","My relatives live there;I always go there on vacation, it's a tradition",Car;Airplane,100 USD,10
More than 25 years old,Female,Western Europe,Seaside;Lake or river;Countryside,Hotel or motel,Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",Plan ideas with partner ,Car,200,6
More than 25 years old,Male,North America,Seaside;Mountains;Lake or river;Countryside;City ,AirBNB & Hostels,Boyfriend/girlfriend;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I have friends there;My relatives live there;I want to visit a certain place,Car;Train;Airplane,750 $,10
More than 25 years old,Non-binary,North America,Seaside;Mountains;Countryside;Destination towns/cities,Rent a house;Family or friend's house;Tent or hut,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)",I have friends there;My relatives live there;I want to visit a certain place,Car;Airplane,250 $,8
More than 25 years old,Male,North America,Seaside;Cities,Hotel or motel;Family or friend's house,Family,"Going to the beach;Travelling, visiting cities and places of interest","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,,10
18 - 25 years old,Male,North America,Seaside,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Staying at home","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,9 $,6
More than 25 years old,Male,North America,Seaside;Mountains,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane,300$,9
18 - 25 years old,Male,North America,Countryside,Hotel or motel;Rent a house,Family;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Airplane,5000 $,10
14 - 16 years old,Female,New Zealand ,Town,Hotel or motel,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car;Train;Airplane,100 $NZD,2
18 - 25 years old,Male,North America,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Extreme sports;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Train;Airplane,1000 $,10
More than 25 years old,Female,North America,Mountains,Hotel or motel;Rent a house,Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car,50 $,9
